Id,"Qué opinas de la celebración del 14 de febrero en el sentido de ser nombrado ""El día del amor y la amistad""?",sentimiento
51,"Es un día en el que las personas pueden recordar la importancia del amor y la amistad y pueden aprovechar para compartir el tiempo con las personas que más quieres. El capitalismo se aprovecha mucho de este día, pero no importa, así funciona el mundo. ",positivo
52,"Pues yo creo que es puro marketing para los enamorados que gasten, yo gasté casi 600 varos hoy, no tengan novia amigos",positivo
53,"Sinceramente, el nombre me parece una estrategia de marketing muy bien pulida para que nadie se quede fuera del mercado. Al incluir la 'amistad', las marcas se aseguran de que incluso los solteros sientan la presión de consumir. Se siente un poco forzado, ¿no? El amor y la amistad se demuestran en los detalles diarios como cuando alguien te pasa los apuntes de una clase difícil o te escucha un problema a las 2 a.m. y no por comprar un peluche que mañana estará lleno de polvo. Es una etiqueta bonita para un fenómeno meramente económico, aunque admito que es un buen día para ir por unos tacos con los amigos, solo por la convivencia.",positivo
54,"Creo que es un día que no tiene mucho sentido, porque puedes estar pasando un mal momento y recuerda que no eres especial para alguien",neutro
55,"Para mí, llamar a esta fecha 'El Día del Amor y la Amistad' es un acierto total porque democratiza el sentimiento. No todos tenemos una pareja, pero todos tenemos a alguien que nos sostiene: un mejor amigo, una hermana o incluso un buen compañero de la carrera. Me encanta que el enfoque se haya expandido; es la excusa perfecta para hacer una pausa en el caos del semestre y decirle a esas personas especiales que valoras su presencia. Sí, sabemos que es comercial, pero ¿qué tiene de malo dedicarle un día al año a celebrar algo tan positivo como el afecto humano?",positivo
56,Es un día bueno para recordar que tienes a muchas personas especiales a tu lado,neutro
57,"Este matiz es importante porque democratiza la celebración. No se limita a las parejas románticas; es una oportunidad legítima para valorar a los amigos, a la familia y a las conexiones humanas en general.",positivo
58,Es un día para humillar a los solteros (como yo).,neutro
59,"Que bonito es tener un amor lesbico, estoy con mi señora novia todo el día.",positivo
60,Es un diá en el que me gusta besarme con mis dos novias Juan y Lino,positivo
61,"Considero que el 14 de febrero es una fecha bonita, aunque viéndolo de un punto de vista objetivo, es solamente un evento de marketing para impulsar las ventas apoyados en la presión social a relaciones de cualquier tipo

Creo  que cualquier día es un buen día para tener un detalle con la persona que amas, sea familiar, amigo o pareja",negativo
62,"Estoy soltero y lo odio. Salten el 14 de febrero. 
Un día innecesario 😩",negativo
63,"Es una festividad muy bonita, donde se conmemoran los lazos tanto de amor como amistad. Y una gran oportunidad de expresar nuestros sentimientos con regalos, declaraciones, detalles,etc.",positivo
64,"Creo que es bueno que también se pueda celebrar  para amigos y que no sea exclusivo de parejas, aunque también es una gran estrategia de marketing para que nadie se escape de comprar algo, aunque sea por compromiso. Personalmente es un buen momento para recordarle a las personas que valoro que están en mi vida sin necesidad de tanta cursilería.",negativo
65,"Me parece bien que exista un día dedicado hacia las relaciones que tienen las personas. Ya que socializar es lo que nos ha hecho ser lo que somos actualmente, por lo tanto merece un día de celebración .",neutro
66,Yo opino que es un dia cualquiera en el que todo es gris y llueve y me pongo triste y leo lluvia escucho cafe y tomo libros mientras como manga y anime ,negativo
67,"Sirbe pata festejar la union de individups no solo conotacion romantica y lujuriosa, sino tambien, el lazo amistoso ",neutro
68,"Me parece un acierto que incluyan la amistad; le quita esa presión innecesaria de tener pareja a fuerza. Aunque sé que el trasfondo es puro marketing, sirve de buen pretexto para convivir con los amigos un rato sin complicarse tanto",negativo
69,Es un día muy especial porque permite recordarle a las personas que las quiero y les doy gracias por estar en mi vida. ,neutro
70,Que es como un dia cualquiera salvo que aprovechan este dia para actividades recreativas en pareja,neutro
71,"En mi opinión, creo que no debería haber un día en específico para celebrar “El día del amor y la amistad” porque eso debería demostrarse todos los días y no solo uno; los obsequios son bonitos pero también se puede demostrar simplemente estando con las personas cuando más lo necesitan. ",positivo
72,"Me parece que es un día más, no le encuentro el punto.
Solo es gastar lo que no tienes. ",neutro
73,"Es el día en el que más flores y regalos se ven en el año, que curioso, porque en navidad no se ven tantos regalos jeje (infieles). 😜",neutro
74,"La verdad no opino al respecto, yo no creo mucho en las relaciones ya sean amistades o parejas. Al final todos mienten, hombres, mujeres,  solo te tienes a ti mismo y nadie debería quitarte eso.",neutro
75,Me gusta aullar con mi manada el 14 de Febrero,positivo
76,Por que me gustan que me regalen mis flores de Buchona ,positivo
77,"Me gusta mucho, sobre todo cuando mis amigos hombres me dan besitos en el cuello como regalo, me hacen sentir como un hombre feliz y amado jiji",positivo
78,Se me hace un poco forzado que todos tengan que celebrar o dar regalos solo por presión social.,negativo
79,"Que tiene mucho sentido porqué casi todos sabemos querer, pero pocos sabemos amar",neutro
80,"La verdad sí me gusta que le digan “Día del amor y la amistad” porque no solo se trata de parejas, también puedes celebrar a tus amigos y a la gente que quieres.  ",positivo
81,No me gusta porque no tengo dinero.,neutro
82,"A mí sí me gusta ver gente con flores y regalos, le da un toque al mes de febrero ",positivo
83,"Pienso que no debería haber un día específico para festejar el amor y la amistad. Pero también sé que es una buena excusa para acordarnos de lo valioso que tenemos, tanto con nuestra pareja como con aquellos que día día están con nosotros",positivo
84,Es un día un poco sobrevalorado y muchos se esperan a decir algo bonito ese día cuando tuvieron todo el año para decirlo. ,positivo
85,"Yo creo que es un día bonito, que nos recuerda celebrar el amor que sentimos por las personas que queremos y la amistad tan inmensa que igualmente sentimos. Pero creo que la gente a veces se acostumbra a solo celebrar ese día y se olvida que los demás días también son especiales. ",positivo
86,Es una mentira creada por los humanos para al menos creer que alguien te quiere aunque sea un momento,neutro
